circuit_id,circuit_name,country,locality,seed_year
sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,Bahrain,Sakhir,2024
jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,Saudi Arabia,Jeddah,2024
melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,Australia,Melbourne,2024
suzuka,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,Japan,Suzuka,2024
shanghai,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,China,Shanghai,2024
miami,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,United States,Miami,2024
imola,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,Italy,Imola,2024
monaco,FORMULA 1 GRAND PRIX DE MONACO 2024,Monaco,Monaco,2024
montr_al,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,Canada,Montréal,2024
barcelona,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,Spain,Barcelona,2024
spielberg,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,Austria,Spielberg,2024
silverstone,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,United Kingdom,Silverstone,2024
budapest,FORMULA 1 HUNGARIAN GRAND PRIX 2024,Hungary,Budapest,2024
spa_francorchamps,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,Belgium,Spa-Francorchamps,2024
zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,Netherlands,Zandvoort,2024
monza,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,Italy,Monza,2024
baku,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,Azerbaijan,Baku,2024
marina_bay,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,Singapore,Marina Bay,2024
austin,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,United States,Austin,2024
mexico_city,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,Mexico,Mexico City,2024
s_o_paulo,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,Brazil,São Paulo,2024
las_vegas,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,United States,Las Vegas,2024
lusail,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,Qatar,Lusail,2024
yas_island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,United Arab Emirates,Yas Island,2024
