circuit_id,circuit_name,country,locality,_updated_at
sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,Bahrain,Sakhir,2026-05-06 18:40:28.259014-05
jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,Saudi Arabia,Jeddah,2026-05-06 18:40:28.259014-05
melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,Australia,Melbourne,2026-05-06 18:40:28.259014-05
suzuka,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,Japan,Suzuka,2026-05-06 18:40:28.259014-05
shanghai,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,China,Shanghai,2026-05-06 18:40:28.259014-05
miami,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,United States,Miami,2026-05-06 18:40:28.259014-05
imola,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,Italy,Imola,2026-05-06 18:40:28.259014-05
monaco,FORMULA 1 GRAND PRIX DE MONACO 2024,Monaco,Monaco,2026-05-06 18:40:28.259014-05
montr_al,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,Canada,Montréal,2026-05-06 18:40:28.259014-05
barcelona,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,Spain,Barcelona,2026-05-06 18:40:28.259014-05
spielberg,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,Austria,Spielberg,2026-05-06 18:40:28.259014-05
silverstone,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,United Kingdom,Silverstone,2026-05-06 18:40:28.259014-05
budapest,FORMULA 1 HUNGARIAN GRAND PRIX 2024,Hungary,Budapest,2026-05-06 18:40:28.259014-05
spa_francorchamps,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,Belgium,Spa-Francorchamps,2026-05-06 18:40:28.259014-05
zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,Netherlands,Zandvoort,2026-05-06 18:40:28.259014-05
monza,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,Italy,Monza,2026-05-06 18:40:28.259014-05
baku,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,Azerbaijan,Baku,2026-05-06 18:40:28.259014-05
marina_bay,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,Singapore,Marina Bay,2026-05-06 18:40:28.259014-05
austin,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,United States,Austin,2026-05-06 18:40:28.259014-05
mexico_city,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,Mexico,Mexico City,2026-05-06 18:40:28.259014-05
s_o_paulo,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,Brazil,São Paulo,2026-05-06 18:40:28.259014-05
las_vegas,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,United States,Las Vegas,2026-05-06 18:40:28.259014-05
lusail,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,Qatar,Lusail,2026-05-06 18:40:28.259014-05
yas_island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,United Arab Emirates,Yas Island,2026-05-06 18:40:28.259014-05
