race_key,race_year,race_round,race_name,circuit_id,race_date
2024_15,2024,15,Dutch Grand Prix,zandvoort,2024-08-25
2024_21,2024,21,São Paulo Grand Prix,s_o_paulo,2024-11-03
2024_1,2024,1,Bahrain Grand Prix,sakhir,2024-03-02
2024_8,2024,8,Monaco Grand Prix,monaco,2024-05-26
2024_24,2024,24,Abu Dhabi Grand Prix,yas_island,2024-12-08
2024_16,2024,16,Italian Grand Prix,monza,2024-09-01
2024_5,2024,5,Chinese Grand Prix,shanghai,2024-04-21
2024_17,2024,17,Azerbaijan Grand Prix,baku,2024-09-15
2024_2,2024,2,Saudi Arabian Grand Prix,jeddah,2024-03-09
2024_6,2024,6,Miami Grand Prix,miami,2024-05-05
2024_7,2024,7,Emilia Romagna Grand Prix,imola,2024-05-19
2024_13,2024,13,Hungarian Grand Prix,budapest,2024-07-21
2024_22,2024,22,Las Vegas Grand Prix,las_vegas,2024-11-23
2024_12,2024,12,British Grand Prix,silverstone,2024-07-07
2024_9,2024,9,Canadian Grand Prix,montr_al,2024-06-09
2024_10,2024,10,Spanish Grand Prix,barcelona,2024-06-23
2024_23,2024,23,Qatar Grand Prix,lusail,2024-12-01
2024_4,2024,4,Japanese Grand Prix,suzuka,2024-04-07
2024_14,2024,14,Belgian Grand Prix,spa_francorchamps,2024-07-28
2024_20,2024,20,Mexico City Grand Prix,mexico_city,2024-10-27
2024_11,2024,11,Austrian Grand Prix,spielberg,2024-06-30
2024_18,2024,18,Singapore Grand Prix,marina_bay,2024-09-22
2024_19,2024,19,United States Grand Prix,austin,2024-10-20
2024_3,2024,3,Australian Grand Prix,melbourne,2024-03-24
