race_year,race_round,session,driver,avg_lap_time_ms,fastest_lap_ms,lap_std_dev_ms,laps_completed
2024,1,Q,PER,103364.5,89537,15065.508039890325,10
2024,1,R,ALO,97888.22807017544,94199,4177.231187459429,57
2024,1,FP1,VER,107957.13333333333,93238,18665.00436595053,15
2024,1,FP3,SAI,112046.07692307692,90824,21137.80477983124,13
2024,1,FP2,ALO,105022.11111111111,90660,16353.707828857468,18
2024,1,Q,OCO,104579.83333333333,90793,15521.925607561283,6
2024,1,Q,STR,102526.75,89965,13935.982765591278,8
2024,1,R,SAR,99327.35185185185,94735,6670.2823542324795,54
2024,1,FP2,SAR,107654.0,91715,17712.935993894673,22
2024,1,R,NOR,97424.56140350878,94476,4076.19405826398,57
2024,1,FP1,PIA,107445.38095238095,93113,18052.6835082106,21
2024,1,R,LEC,97270.36842105263,94090,4004.776525919567,57
2024,1,FP2,NOR,105583.27272727272,92608,15765.409384628581,22
2024,1,FP3,TSU,114192.3,91631,21050.44458253132,10
2024,1,FP1,RIC,111430.1052631579,92869,19785.0579615997,19
2024,1,FP2,LEC,107856.86363636363,91113,18152.514343212057,22
2024,1,Q,GAS,102735.5,90948,13061.503569650777,6
2024,1,Q,ZHO,102071.0,90757,13374.0384327248,4
2024,1,FP3,STR,111467.92307692308,91396,20183.08183215809,13
2024,1,FP3,PER,119938.63636363637,91248,23459.82589991975,11
2024,1,FP3,OCO,115840.42857142857,92124,23114.050321951676,7
2024,1,Q,SAI,100434.36363636363,89507,12308.776285827335,11
2024,1,R,TSU,98468.28571428571,95833,4121.196731375645,56
2024,1,FP2,TSU,106521.48,91881,16545.36491518597,25
2024,1,FP3,LEC,116958.64285714286,91094,24885.305536237003,14
2024,1,FP3,NOR,109534.25,91118,15476.790270318603,8
2024,1,FP3,SAR,119679.61538461539,92125,21302.607358171215,13
2024,1,Q,ALB,104640.5,90221,16146.238668583377,8
2024,1,Q,HUL,99931.54545454546,89851,11072.138766865557,11
2024,1,Q,RUS,108454.09090909091,89485,18652.49572821045,11
2024,1,FP2,ALB,106156.13636363637,91333,14615.537548706934,22
2024,1,FP2,RUS,106592.94444444444,90580,19931.59986044101,18
2024,1,FP3,VER,114325.83333333333,91062,19078.257114190266,12
2024,1,R,RUS,97395.26315789473,95065,4096.813376299385,57
2024,1,R,HUL,98613.82142857143,94834,6313.063734272531,56
2024,1,FP1,SAI,109881.85,93385,16987.946817716936,20
2024,1,R,ALB,98511.21428571429,95723,4150.027617495338,56
2024,1,FP2,HUL,104047.36842105263,90884,15965.646394717929,19
2024,1,FP2,MAG,105180.45454545454,91764,16159.715720411115,22
2024,1,R,HAM,97457.29824561403,94722,4049.5974489752507,57
2024,1,R,BOT,98503.74545454545,96202,3647.0312087656234,55
2024,1,R,MAG,98447.46428571429,95570,4122.179114648804,56
2024,1,FP2,BOT,105441.61904761905,92001,14793.414695316935,21
2024,1,FP1,GAS,112180.05,95144,18645.23588783896,20
2024,1,Q,RIC,101469.375,90278,11646.380283007617,8
2024,1,Q,PIA,101271.09090909091,89683,12756.410548853823,11
2024,1,FP2,HAM,101433.05,90374,12036.127041339467,20
2024,1,FP1,ZHO,112381.5,93923,18173.01222050617,10
2024,1,FP1,NOR,108828.75,92901,18663.145066582852,20
2024,1,Q,MAG,100719.625,90529,12103.110071825105,8
2024,1,R,PIA,97558.31578947368,94774,4399.02808323244,57
2024,1,FP1,SAR,109606.17647058824,94213,17229.539489766164,17
2024,1,FP2,PIA,103818.16666666667,90784,14674.903811748069,24
2024,1,FP1,LEC,109744.0,93268,16984.43609766175,19
2024,1,R,RIC,98458.92857142857,95163,4234.646568303142,56
2024,1,FP2,RIC,104961.08695652174,91516,14409.176886191291,23
2024,1,Q,HAM,100352.81818181818,89710,12299.07889899225,11
2024,1,Q,BOT,105147.25,90756,17356.93112995497,4
2024,1,FP2,PER,104155.0,91115,15511.067016810932,22
2024,1,R,OCO,98860.57142857143,96226,4261.362850105556,56
2024,1,FP2,OCO,109318.76190476191,92027,19252.573736788447,21
2024,1,Q,ALO,107380.77777777778,89542,16967.433127743407,9
2024,1,FP2,STR,105804.86363636363,90891,16895.982149317137,22
2024,1,R,PER,96968.40350877192,94364,4026.2397419022623,57
2024,1,R,STR,98209.78947368421,95632,4214.312754246116,57
2024,1,Q,VER,102439.45454545454,89179,14647.363273733854,11
2024,1,FP1,STR,109100.07142857143,93868,17174.31911745999,14
2024,1,FP1,PER,112015.77777777778,93413,21985.955184150564,18
2024,1,FP1,OCO,111794.73333333334,94807,20016.97823444126,15
2024,1,FP1,BOT,113036.875,93354,18751.320066864628,16
2024,1,FP2,GAS,109341.81818181818,91951,17865.647418429977,22
2024,1,R,GAS,98877.83928571429,94805,5551.159986154523,56
2024,1,FP1,MAG,102346.5,97477,11368.917499878675,22
2024,1,R,ZHO,98419.66071428571,95458,4119.504547777056,56
2024,1,FP2,ZHO,107394.39130434782,92048,18720.015131450593,23
2024,1,Q,LEC,101915.5,89165,13269.048486130147,12
2024,1,FP1,HAM,108452.5,93302,15763.665702569086,18
2024,1,Q,NOR,101461.5,89614,12782.710488334287,8
2024,1,Q,SAR,104090.0,90770,15325.924963929583,4
2024,1,FP3,GAS,113020.1,92382,20110.057745925158,10
2024,1,FP3,ZHO,115773.41666666667,92000,21218.16916726337,12
2024,1,Q,TSU,100862.875,90129,11515.403689189538,8
2024,1,FP3,RIC,118890.8,91449,20681.840949651138,10
2024,1,FP1,TSU,111118.95,93183,19437.815838625385,20
2024,1,FP3,PIA,112543.33333333333,91210,17028.581297336546,9
2024,1,FP3,ALO,112659.35714285714,90965,19515.29934182663,14
2024,1,R,SAI,97014.94736842105,94507,3966.655092414825,57
2024,1,FP2,SAI,108663.0,90769,18106.41796988018,21
2024,1,FP1,ALB,113341.21428571429,93583,19124.70317589097,14
2024,1,FP1,HUL,102024.04347826086,97938,9340.777150256341,23
2024,1,FP1,RUS,110281.7,93251,19378.515898581576,20
2024,1,FP1,ALO,111927.64285714286,93193,19573.73750170657,14
2024,1,FP3,HUL,118713.54545454546,91278,20334.8540558502,11
2024,1,R,VER,96574.42105263157,92608,4158.272348787625,57
2024,1,FP3,RUS,113240.57142857143,91190,21480.968870585137,7
2024,1,FP3,ALB,120213.63636363637,91965,23354.379106594668,11
2024,1,FP2,VER,102493.19047619047,90851,13762.315472401613,21
2024,1,FP3,BOT,115399.90909090909,92096,20960.988871971407,11
2024,1,FP3,MAG,108898.25,91671,18943.670944847694,16
2024,1,FP3,HAM,105906.0,91452,17357.139017048372,15
