record_id,race_year,race_round,session,race_key,driver_id,lap_number,pit_in_ms,pit_out_ms,tire_compound_before
601d2303d8f8f32cf8e9bb47bd15f7703fc87dbe,2024,1,FP2,2024_1,PIA,6,1608687,,MEDIUM
237442a6225c167fafdbcf213442adb67cc7662b,2024,1,Q,2024_1,GAS,9,2094476,,SOFT
54cfa059c00afcfd95f7b51d2299e6b5f703e638,2024,1,Q,2024_1,RUS,3,1563705,,SOFT
0d0d841732a8d36776a614b6106ff7e53d7f8aab,2024,1,FP3,2024_1,RUS,3,2305046,,SOFT
6d9d10ebc693a6c58efe9e4db59feaa7c898c61b,2024,1,Q,2024_1,VER,17,4560132,,SOFT
bddfa12e04f8319089ed841cc851f0b70a6a2677,2024,1,R,2024_1,OCO,30,6588158,,HARD
fcd1b4c0c517c5d7fcb19a05739184a9a363479a,2024,1,FP1,2024_1,HUL,5,1411037,,MEDIUM
5dcfe605557a1ec68b5660f6b492ac2b537b85c4,2024,1,FP1,2024_1,HUL,27,4791226,,MEDIUM
6b11fd01016b911364194b689b88b54c7054c5e7,2024,1,FP1,2024_1,RIC,10,2197298,,MEDIUM
38dcda4575819f156efde7ddfbd9922c2531122f,2024,1,FP3,2024_1,ALB,7,2764926,,SOFT
67a62aec11836ea0d17e71e85e92ddcc1dc5cbbe,2024,1,FP3,2024_1,ZHO,13,4054910,,SOFT
c3dd1e149f6cd1c95f4f5690bdd51bebc1377ca3,2024,1,R,2024_1,ALO,15,5082030,,SOFT
de5c92ae7baebf67a71b9db94839430f3a10be25,2024,1,FP2,2024_1,HAM,6,1715478,,SOFT
fea0080f9bf8479eabeae089af3cde9502d792ac,2024,1,FP2,2024_1,SAR,8,2135921,,SOFT
4729c57aaa03ebd5c053fb3617f9a685d845ee4e,2024,1,Q,2024_1,NOR,12,4001061,,SOFT
beb1e0d34f8966a8a1db8af334ed80a92ba6779b,2024,1,R,2024_1,RUS,11,4676394,,SOFT
456df1e78e91a2a5927ad126f3ebf809a8102d79,2024,1,Q,2024_1,RIC,12,3288625,,SOFT
4765aaa0008de418c8c327f3bbc2e5f2aa857f1c,2024,1,FP1,2024_1,BOT,9,2499614,2386521,MEDIUM
62fa94600d9e9dc36334270fdd29246252d340fe,2024,1,FP2,2024_1,GAS,6,1636843,,SOFT
58ccdc7dfca62b9058fdb66ebf2a120eeb7cacbc,2024,1,FP2,2024_1,RIC,26,4765783,,SOFT
df26efec8c644f3b939d201063bf6c9726bc2bdc,2024,1,Q,2024_1,PER,9,2828433,,SOFT
0d8ad0e67b9be51071a8007a3a9f888a2b99845e,2024,1,FP3,2024_1,HUL,6,2513953,,SOFT
c612f49a8436b497aa8d7e54ef3e294365c93dbe,2024,1,R,2024_1,STR,27,6283480,,HARD
b166cebdeee8ce5bca55689af230303c5b3d08eb,2024,1,FP1,2024_1,PIA,6,1647565,,MEDIUM
9204aa2d91ad9060e89055bced0865b11cb7cc4f,2024,1,FP2,2024_1,ZHO,9,2355580,,SOFT
d24914329641d77f2f3d10db551a0074e50dd2fd,2024,1,FP2,2024_1,TSU,14,2929512,,SOFT
31fb5756900821cb37c7e200c3d8d330ff7f67df,2024,1,FP3,2024_1,RUS,6,3230095,,SOFT
702bd91d8595c1acf7833d995d885ac5252da9c6,2024,1,Q,2024_1,VER,9,2825349,,SOFT
9aa515dde04bea035104b03763f794266bb5b349,2024,1,R,2024_1,VER,37,7187796,,HARD
5aa1f659eef81574d95d4dc4b6cb46701b79caa9,2024,1,FP3,2024_1,LEC,6,2372846,,SOFT
83e5e367816a3e0f7a2f0ede582118ce24564137,2024,1,Q,2024_1,HUL,15,3992220,,SOFT
b1f67a00ea9e4b46d5295e7a04f08769c98ee3ab,2024,1,FP1,2024_1,ALO,7,2064445,,MEDIUM
85a12e44019c526d1249b58d6f4b1abc3cb83fbf,2024,1,FP3,2024_1,BOT,13,4066096,,SOFT
8c6e1f135c637fe70da1773125a0c81a2954f460,2024,1,Q,2024_1,ALO,14,4341004,,SOFT
15c43bbdf0c87acd24e8b7be5106e24b7caf05c0,2024,1,FP1,2024_1,LEC,6,1695400,,MEDIUM
84f9ec25747fc616b7ca2449510c83278211edb1,2024,1,FP3,2024_1,RIC,6,3001950,2887257,SOFT
3c3ed400814257c134c2a333fa7f397d2abfc8ad,2024,1,FP3,2024_1,GAS,6,3085556,,SOFT
209690f41644dff3059647fb3a6b0552cf22c701,2024,1,Q,2024_1,ALB,6,1995706,,SOFT
e4c6528428324242ad321311504b4ad344226f6b,2024,1,FP2,2024_1,SAI,25,4816353,,SOFT
6d056e62926d1dd99f8674e3d685b6b4866e7eea,2024,1,FP3,2024_1,STR,7,2661182,,SOFT
7d92439cbe55a4de186b857fd069fac8696f6449,2024,1,FP3,2024_1,STR,17,4760008,,SOFT
538d51ce14f5905bf21c970a0d01b124fcb66036,2024,1,R,2024_1,BOT,30,6590207,,HARD
6ed40766b5749ba398dfc6d75788e7f1eeb6fb5a,2024,1,R,2024_1,SAR,28,6471937,,HARD
3d61294850496b037af55774b8480f1f6f272646,2024,1,Q,2024_1,PER,3,1582548,,SOFT
b10a8a10e0595b608c4c209bbeb8b2bef111d1c3,2024,1,FP3,2024_1,HUL,13,4770691,,SOFT
cc8f1784a8d94a184799ed6ed14678f0a55564de,2024,1,FP3,2024_1,PER,14,4164347,,SOFT
8995afee96d94fda25cf1955c32fd67d39bd1644,2024,1,Q,2024_1,MAG,6,1990863,,SOFT
8c4cb7faf288a8a812729cb1ff8e59c27277b8d0,2024,1,Q,2024_1,RUS,17,4553668,,SOFT
3af2d474ddaa2e44ef6b3e09171d2b956caa05d5,2024,1,FP2,2024_1,NOR,5,1542588,,MEDIUM
8140b53838db945badad36ae4c48c156826faed2,2024,1,FP2,2024_1,ALB,12,2920952,,SOFT
df874131a37723dc5d0607d7791e6cc018bff1ee,2024,1,FP3,2024_1,LEC,11,3596227,,SOFT
9910c79dadf4f90f58358cd5c6615de4f979e3f3,2024,1,FP3,2024_1,LEC,17,4828172,,SOFT
e1f253867ae6deaf1b677def35c65b03ac54f2e5,2024,1,Q,2024_1,HUL,6,1966124,,SOFT
cf6a401154deae70c65d30b667271be1cfa0c938,2024,1,R,2024_1,LEC,11,4679892,,SOFT
0a0df40f8dd0c0196e30193143caaf7d505ce70f,2024,1,R,2024_1,PIA,12,4782605,,SOFT
9d3bb2dd016b8ee79456e667703874aa37edd39d,2024,1,FP2,2024_1,MAG,12,2796596,,SOFT
a387a0abc41b3e5780368bae3b4229e455a759d1,2024,1,FP3,2024_1,BOT,3,2074353,,SOFT
b8d1345b6e18a520d6023be715dc719ea83f262d,2024,1,FP3,2024_1,BOT,16,4767391,,SOFT
bf3e48586b64b3860ce449e74f323bb51ad6f489,2024,1,Q,2024_1,ALO,5,1972991,,SOFT
7c539ef993906b091cb4322eb6da42889582ee45,2024,1,Q,2024_1,SAI,9,2792933,,SOFT
914d06630924be8a49f1fd0d378a240c86abc463,2024,1,Q,2024_1,LEC,10,2802798,,SOFT
aca0651cf98b8ce1aebbc0416e36ea5da26f066f,2024,1,Q,2024_1,ALB,9,2784835,,SOFT
51d2d7bf2f53b6a78cc09c8d14aa0eadd67b464f,2024,1,Q,2024_1,TSU,6,2006367,,SOFT
edf71e2e6e10d7cbce372604017020986778efa9,2024,1,R,2024_1,RUS,31,6639737,,HARD
4c1abe0a826c7153605f48b883a5104ab52fffa2,2024,1,FP1,2024_1,PER,9,2083352,,MEDIUM
e0b4bee0f7273e6338c6ec638d062344aefe5044,2024,1,Q,2024_1,HAM,3,1567505,,SOFT
68268bba2a6a51416e7852373f4df812b292b74c,2024,1,Q,2024_1,HAM,9,2840828,,SOFT
4b88a47b2b113dedb5486d84f4b94c30486c5558,2024,1,Q,2024_1,PER,11,3282589,,SOFT
04b6527b61d8191819aa63610b045e9e69c6b205,2024,1,FP3,2024_1,TSU,6,2957654,,SOFT
8757f1e2b3ace59e5ff3f0bc4cd0673772ca6219,2024,1,FP3,2024_1,TSU,7,3095023,2979896,SOFT
fcce926d4dca320a894ddcd52ec5d317fd86d71b,2024,1,R,2024_1,HUL,41,7667947,,HARD
525c611b1d430f264d87ac9b94dc65a31e0d70ef,2024,1,Q,2024_1,RUS,5,1981938,,SOFT
5757ca31d2efeb5742f59fd1418044619f40d665,2024,1,FP2,2024_1,NOR,25,4795815,,MEDIUM
ba7cd8f9a3698b52c5a1fd05f364840ac28625a7,2024,1,Q,2024_1,OCO,6,1605537,,SOFT
b9de426aca0e3597d42786dcc3eee27f372809d7,2024,1,R,2024_1,LEC,34,6931860,,HARD
355d58e369586657d6e78808c347e500cbc4bd3c,2024,1,FP3,2024_1,OCO,6,3499664,,SOFT
34065ec3e6958c795202433d4c4ad9d2947024f4,2024,1,Q,2024_1,ALO,8,2789908,,SOFT
5dc23e57a58d904fda30b1e779b4157d1714a4b8,2024,1,R,2024_1,PER,36,7110216,,HARD
