record_id,race_year,race_round,session,race_key,snapshot_index,time_offset_ms,air_temp_c,track_temp_c,humidity_pct,pressure_mbar,wind_speed_ms,is_raining
8562e61f0d0c3758de82582d722d96d0d5550efa,2024,1,FP2,2024_1,0,44627,17.1,23.4,46.0,1017.0,2.5,false
ae90bd9cd9536c1ab473f5e5644ab0d5e057e0c0,2024,1,FP2,2024_1,4,284697,17.1,23.2,45.0,1017.0,2.6,false
3a7961754c73c70f019b51964719daefa70b0c23,2024,1,FP2,2024_1,43,2624758,17.3,22.0,38.0,1017.3,2.5,false
7f00f1a069bc4c7190b57423a8e4a52f587f4c39,2024,1,FP2,2024_1,47,2864799,17.3,22.0,36.0,1017.2,1.6,false
ae9bb263f764b1027813b6c04ada9c4fd5e864d6,2024,1,FP2,2024_1,63,3824900,17.4,21.5,37.0,1017.2,2.2,false
5cab72b7669335ddd320f3949046b8e153db6139,2024,1,FP3,2024_1,36,2209923,20.3,32.3,36.0,1017.6,3.5,false
bf13ee9e1011d36988c1b0aeb3fa04442faa1639,2024,1,FP3,2024_1,78,4730172,20.0,29.5,37.0,1017.9,2.3,false
0eebc1c93956acf27000f3d971276ac98826ba8e,2024,1,Q,2024_1,50,3015817,18.1,21.2,46.0,1019.2,2.3,false
c378184e139917caec6647f5f57c3eee804bf4a8,2024,1,Q,2024_1,58,3495817,18.0,21.3,47.0,1019.2,1.3,false
b115894647c2b761b58df6789e79c9f8f5bb2ae9,2024,1,Q,2024_1,67,4035903,17.9,21.1,47.0,1019.3,1.5,false
5be8d520d62cd5225e7f5e6e4b691ecfffb74008,2024,1,R,2024_1,5,314093,18.9,26.2,46.0,1017.0,1.0,false
7681182e19c0af2263be456b54026369a48603b2,2024,1,R,2024_1,11,674093,18.8,25.7,47.0,1017.0,1.1,false
31971abef8779719cb2e06ace492231f16a176a0,2024,1,R,2024_1,55,3314130,18.4,23.7,49.0,1017.0,2.1,false
71d41ac64a4751becf45422954ecde64b4ae37eb,2024,1,R,2024_1,62,3734121,18.3,23.8,49.0,1017.0,1.1,false
9bafd46ef63764df321a42558a0e80dfec69402d,2024,1,R,2024_1,83,4994142,18.1,23.5,50.0,1017.1,0.4,false
5b05fe0e1972d320b7a37a6c3c1ca73c9e364bff,2024,1,R,2024_1,84,5054131,18.1,23.3,50.0,1017.2,0.0,false
ba9b4a7863e787dcec867d077995c355711a9a4c,2024,1,R,2024_1,117,7034264,18.0,22.6,49.0,1017.4,0.7,false
a44d2dd9b1a4425b538a91ba6acc7cedff7f89e0,2024,1,R,2024_1,136,8174296,17.8,21.9,51.0,1017.5,0.7,false
2d8d2449c832e6350e36d8cb477fff557c6c0378,2024,1,R,2024_1,141,8474295,17.7,21.9,51.0,1017.4,0.0,false
72bc97ed68de574421d34a34086ebba201502f4b,2024,1,R,2024_1,144,8654299,17.6,21.9,51.0,1017.5,0.4,false
5ba35f5ef1c6b0172f6c64a80ac35c387655c107,2024,1,R,2024_1,148,8894305,17.6,21.9,51.0,1017.5,0.3,false
61a1faa4b815bf49a414649d9d7ffadb4e1b2173,2024,1,FP1,2024_1,62,3765133,19.0,33.3,38.0,1016.1,3.1,false
ff888d7bb97a219eb088d2044d8d3ebaad0647dc,2024,1,FP1,2024_1,68,4125130,19.1,32.8,39.0,1016.2,4.1,false
28dc40478b2a87ff4d356676b2a4d52539fbec04,2024,1,FP1,2024_1,70,4245142,19.1,32.8,40.0,1016.1,3.1,false
27c5d9ea48c50df9b99b608761835b174007d107,2024,1,FP1,2024_1,78,4725204,19.2,32.5,39.0,1016.1,4.2,false
e1444eed7973f52494f6ead475cc2b0f196cdc35,2024,1,FP2,2024_1,6,404713,17.1,23.1,45.0,1017.1,3.2,false
9efb844930f1b2fb7c729a77c82e98c1b5b3a0df,2024,1,FP2,2024_1,28,1724753,17.2,22.4,42.0,1017.2,2.4,false
7e2cfe3291ecc73cab5ca5c509f4d11d8960ad5d,2024,1,FP2,2024_1,31,1904760,17.3,22.5,41.0,1017.3,1.5,false
b7f3c998b42567bc475f1acc0c1455c3f6bd88d9,2024,1,FP2,2024_1,33,2024750,17.2,22.3,41.0,1017.2,1.5,false
cb8c031dde147ecbfac5e90085942be75eb320cf,2024,1,FP2,2024_1,36,2204761,17.3,22.2,39.0,1017.1,2.6,false
8350af037ef57f4c86fd0f0909edda1987c71ee3,2024,1,FP2,2024_1,39,2384764,17.2,22.1,38.0,1017.2,2.6,false
48f5e3bb199f53f2509a3329d66d44724d6b4265,2024,1,FP2,2024_1,40,2444753,17.2,22.0,38.0,1017.3,2.6,false
dc2342fd0d8986b7b7a3d8e0be6d8f2af6f03982,2024,1,FP2,2024_1,51,3104788,17.3,21.9,37.0,1017.3,2.2,false
51796f34b409a9959ddb1189595f3345c79f1ced,2024,1,FP2,2024_1,70,4244909,17.3,21.3,34.0,1017.4,2.7,false
4a2ecca2174bcdcc48a2f57e0c1497dd39ca6448,2024,1,FP3,2024_1,37,2269932,20.3,32.2,36.0,1017.7,2.6,false
d60fb158d86ed85085f950907e7e1f3ba9448dc2,2024,1,FP3,2024_1,51,3110046,20.2,31.2,38.0,1017.7,2.4,false
11923b65517d097751fca35a8e0dbdaac379b3c1,2024,1,FP3,2024_1,67,4070097,20.0,30.0,38.0,1017.8,3.0,false
0936adabed6cb07e08de00e17a258c0970165904,2024,1,Q,2024_1,64,3855934,17.9,21.1,47.0,1019.2,1.2,false
313bdfb0c58a4a7835e4cf719e5457685389a826,2024,1,R,2024_1,6,374087,18.9,26.1,46.0,1017.0,1.5,false
63a34ac01ab5bed089d142f312ae30b86d716f85,2024,1,R,2024_1,41,2474117,18.5,24.5,47.0,1017.1,0.8,false
e9d98b4298fa2a382e37eac2a1966d9e162f5090,2024,1,R,2024_1,45,2714117,18.4,24.3,49.0,1017.0,1.6,false
ab5db015b2d134ed1fe4ba963e6ed0178fe55d8a,2024,1,R,2024_1,123,7394291,17.9,22.4,50.0,1017.5,0.6,false
cf494f003e3d608ac842ab312e78a3f0eaa35b90,2024,1,R,2024_1,128,7694284,17.9,22.4,50.0,1017.4,0.0,false
835691aec9383016b780fbcd3a36295c48590cb4,2024,1,FP1,2024_1,11,704943,19.5,35.9,39.0,1016.1,3.2,false
4c33bb66ed85eeb1e79d60cdb506861181a7dce4,2024,1,FP1,2024_1,16,1004983,19.5,35.6,37.0,1016.2,3.0,false
740c1abb0f9c2e5a9611e22c94c22c6aceac70de,2024,1,FP1,2024_1,17,1064978,19.5,35.6,38.0,1016.1,3.7,false
d6f42da8e2be1b1899221823183671fd901e876b,2024,1,FP1,2024_1,36,2205021,19.5,34.7,39.0,1016.2,3.3,false
4c11a80d70c7e8d73502093de035ae8cbd479166,2024,1,FP1,2024_1,48,2925065,19.2,33.4,40.0,1016.0,4.7,false
96e9ec0d935a9389a9f2d09539449217d7df810e,2024,1,FP1,2024_1,65,3945130,19.1,32.9,39.0,1016.1,3.7,false
1ccd04a64a470e62eef2566e4a64ce7adace2fc3,2024,1,FP2,2024_1,3,224680,17.2,23.2,46.0,1017.0,3.3,false
4829c1a9e74920f490ac317fb18939c37345c109,2024,1,FP2,2024_1,10,644708,17.1,23.0,43.0,1017.0,3.0,false
ed77adc1ef076e7b64af4db117bc480759fe2144,2024,1,FP2,2024_1,23,1424739,17.3,22.6,41.0,1017.3,2.0,false
2c15209ec74d22baab5fbb9bf55b46b15019a2a4,2024,1,FP2,2024_1,49,2984785,17.3,21.9,36.0,1017.2,2.6,false
d03e8de5e9ccc4b3a4450dd147abaefb9e554fa2,2024,1,FP3,2024_1,3,229895,20.5,34.9,30.0,1017.7,2.9,false
fd0dba65890175e9be7d3b9b263afaf551536946,2024,1,FP3,2024_1,9,589904,20.5,34.3,32.0,1017.6,2.7,false
934cae416ff77dad827ab321f6871a9a073c046d,2024,1,FP3,2024_1,23,1429917,20.4,33.3,32.0,1017.6,2.7,false
6c8a8c7cd6983f8893ee3ae625dca68880bc707e,2024,1,FP3,2024_1,28,1729920,20.3,32.7,35.0,1017.6,3.5,false
ff63cf048104f98ea7aeafdbdb24056b90ded73c,2024,1,FP3,2024_1,53,3230056,20.3,31.0,38.0,1017.7,3.2,false
4c24ce01f94e55670a30155a83be1be06555e6fa,2024,1,FP3,2024_1,55,3350057,20.2,30.9,39.0,1017.8,2.7,false
aa8999601efe9ca8ca325f9e80797fe172218c9f,2024,1,FP3,2024_1,69,4190111,20.0,29.7,40.0,1017.9,3.1,false
e15ef5afc3cbb19f1b7e79f6c4bce61a2d295732,2024,1,FP3,2024_1,79,4790168,20.0,29.4,38.0,1017.9,2.2,false
430cb68d8de3d466f396ae580ad7d4a6ba86032a,2024,1,Q,2024_1,35,2115682,18.1,21.7,47.0,1019.1,1.7,false
c834e231d70cb455bc5a04709e5f9c16d4cee019,2024,1,Q,2024_1,38,2295683,18.2,21.5,46.0,1019.2,1.8,false
fe29bd642d206d2421ecdb15ed683bab1b0d11e2,2024,1,R,2024_1,4,254091,18.9,26.2,46.0,1017.0,1.0,false
ce64f1d3710b01adfea510c11af4f47bd2ed536e,2024,1,R,2024_1,33,1994112,18.6,24.9,46.0,1017.0,1.3,false
ad8576fb9b10ae99ae691065000fb9e828d8af4d,2024,1,R,2024_1,46,2774119,18.4,24.3,49.0,1017.0,0.9,false
4303c02b1c256718c9a04a714a2a254bc7c36150,2024,1,R,2024_1,56,3374118,18.3,23.7,49.0,1017.0,1.6,false
4db486ed3e3c4eab6fa556894e7b34bbff08749c,2024,1,R,2024_1,63,3794127,18.3,23.8,49.0,1017.1,1.5,false
fde21f9680e6f9581b24d4818deede1b4d5bb311,2024,1,R,2024_1,77,4634141,18.2,23.4,50.0,1017.2,0.6,false
e5faed026995dec38ed422fbb2f485337ce41678,2024,1,R,2024_1,79,4754137,18.3,23.6,50.0,1017.2,0.5,false
2d000fb50a5fddbda56746d2a95657e2784744a8,2024,1,R,2024_1,85,5114135,18.1,23.2,50.0,1017.2,0.4,false
40d8081854f0ef9a4b2109086a431906d3b626d5,2024,1,R,2024_1,91,5474139,18.1,23.3,50.0,1017.1,0.6,false
56ad86a08b12ede35b2f10e7cc80a146092f199b,2024,1,R,2024_1,94,5654141,18.1,23.1,50.0,1017.1,0.7,false
497739d22144d6e5cdf634fa5157f8ee5216b0b6,2024,1,R,2024_1,110,6614198,18.0,22.7,49.0,1017.3,0.5,false
e4f69d64a4014568d817077788b375c4eccc24a1,2024,1,R,2024_1,134,8054301,17.8,22.0,51.0,1017.5,0.0,false
d3f6cbe82ec03c8dd5fbdb0e0f72805e18d0d755,2024,1,R,2024_1,142,8534301,17.6,22.0,51.0,1017.5,0.4,false
ff94f1ae606a1d3567cb0c56de019396f613df10,2024,1,FP1,2024_1,3,224889,19.7,35.9,38.0,1016.2,3.7,false
0e0772cd5ca97d415646ec943d476a18752852b0,2024,1,FP1,2024_1,18,1124979,19.5,35.6,38.0,1016.2,2.8,false
42956923299673533a4d119c06e1176f2aef6bd3,2024,1,FP1,2024_1,22,1364966,19.3,35.2,38.0,1016.1,3.1,false
74123510b3f07129f1699f71f0ccb19c1dbb2d36,2024,1,FP1,2024_1,32,1965017,19.5,34.6,38.0,1016.2,3.0,false
6807fc2d23e42df039f9a04fe50f33dcffa999a4,2024,1,FP1,2024_1,37,2265040,19.4,34.3,39.0,1016.0,3.4,false
4806c5c72fdf2a40eb53ccdc0125717253223855,2024,1,FP1,2024_1,40,2445034,19.3,34.3,40.0,1016.0,3.7,false
1a7973eddfcaa20270fe7bf8af51507a3715ad94,2024,1,FP1,2024_1,43,2625034,19.2,34.2,39.0,1016.0,3.7,false
d4654bb37c4ffea9631effb141141dd89695c8a5,2024,1,FP2,2024_1,12,764717,17.1,22.9,41.0,1017.0,3.5,false
5a5a5298d0168030e959e4fc4cee05b07b076817,2024,1,FP2,2024_1,18,1124749,17.2,22.7,40.0,1017.2,2.6,false
faa338bb518d961a6e0ea1d8117163d132e335d1,2024,1,FP2,2024_1,46,2804766,17.2,21.9,36.0,1017.3,2.2,false
f649f91bd84b7969e17e89da01a4df878cb29bd2,2024,1,FP2,2024_1,54,3284806,17.2,21.7,37.0,1017.2,2.1,false
9322b4a0cc774437ae1a8c32130d35aec981a431,2024,1,FP2,2024_1,66,4004902,17.4,21.5,36.0,1017.4,2.8,false
fd445375ec9aa460f5bde870cf2312841c674d7b,2024,1,FP2,2024_1,78,4724970,17.4,21.2,36.0,1017.4,1.7,false
975c1a5ff3b7aa66f494cd751b09c36293b646e2,2024,1,FP3,2024_1,5,349899,20.5,34.3,31.0,1017.4,2.2,false
85b323d5bf51a0599e6c7d88171eb280b1a2fb29,2024,1,FP3,2024_1,18,1129900,20.4,34.1,33.0,1017.5,2.5,false
bb5baed67b0a0207eac47eb55341bc51a55ac393,2024,1,FP3,2024_1,29,1789897,20.3,32.7,35.0,1017.6,3.1,false
148e2d9ddb9dd4e059982a70d05b2211891d56e4,2024,1,FP3,2024_1,59,3590057,20.1,30.7,39.0,1017.8,2.7,false
fd26e423c8c33e22ee70c5785f07fd5ac42712fb,2024,1,FP3,2024_1,61,3710052,20.0,30.6,38.0,1017.8,2.2,false
3b57df9a5802f032a548230f64d3e5ed2904d73a,2024,1,FP3,2024_1,62,3770064,20.1,30.7,38.0,1017.8,2.8,false
73530a260c511186bca5b0749e998248f00e8d34,2024,1,Q,2024_1,4,255662,18.1,22.2,48.0,1018.8,2.3,false
