race_year,race_round,session,driver,avg_sector1_ms,avg_sector2_ms,avg_sector3_ms
2024,1,FP2,MAG,33476.90909090909,45631.59090909091,26071.954545454544
2024,1,R,HAM,31525.64285714286,42031.78947368421,23836.80701754386
2024,1,R,BOT,31559.37037037037,42520.38181818182,24258.21818181818
2024,1,R,MAG,31760.127272727274,42384.875,24231.0
2024,1,FP2,BOT,35215.333333333336,44344.04761904762,25882.238095238095
2024,1,FP1,GAS,38411.45,47080.95,26687.65
2024,1,Q,RIC,32074.625,42754.25,26640.5
2024,1,Q,PIA,32865.818181818184,42852.36363636364,25552.909090909092
2024,1,FP2,HAM,31914.85,43424.7,26093.5
2024,1,FP1,ZHO,36783.8,48058.9,27538.8
2024,1,FP3,ALO,36466.92857142857,48898.0,27294.428571428572
2024,1,R,SAI,31451.39285714286,41809.21052631579,23709.736842105263
2024,1,FP2,SAI,36324.0,45846.42857142857,26492.571428571428
2024,1,FP1,ALB,37308.857142857145,49503.142857142855,26529.214285714286
2024,1,FP1,HUL,32974.17391304348,43491.69565217391,25558.17391304348
2024,1,FP1,RUS,34559.95,48890.85,26830.9
2024,1,Q,PER,31682.2,44247.7,27434.6
2024,1,R,ALO,31710.14285714286,42104.84210526316,24028.701754385966
2024,1,FP1,VER,36349.46666666667,43982.73333333333,27624.933333333334
2024,1,FP3,SAI,38366.92307692308,46186.769230769234,27492.384615384617
2024,1,FP2,ALO,34509.88888888889,43885.27777777778,26626.944444444445
2024,1,Q,OCO,32279.833333333332,44338.333333333336,27961.666666666668
2024,1,Q,STR,32776.375,41874.25,27876.125
2024,1,FP1,BOT,37488.0,48428.4375,27120.4375
2024,1,FP2,GAS,36619.40909090909,46332.27272727273,26390.136363636364
2024,1,R,GAS,32366.545454545456,42159.69642857143,24230.589285714286
2024,1,FP1,MAG,33292.40909090909,43779.5,25274.590909090908
2024,1,R,ZHO,31858.054545454546,42356.732142857145,24114.285714285714
2024,1,FP2,ZHO,35897.82608695652,45272.30434782609,26224.260869565216
2024,1,Q,LEC,32564.666666666668,43091.416666666664,26259.416666666668
